"Tratamiento","n","mean","sd","similitud"
"Control",3,82500,1250,"a"
"Vehicle",3,79166.667,1443.376,"b"
"62.5 µM",3,42083.333,721.688,"c"
"125.0 µM",3,45833.333,721.688,"d"
